,Guild Info,uuid,name,role,First Join,Last Join
41,,uuid_95693313624742a49fec3f2b2ee85bc5, TheeMelaninGod,Ultra Crystal,2021/09/08 19:58:58,2021/09/17 16:48:57
42,,uuid_2e1092009f254ec8bc019ecceca9571f,[MVP+] zxce,Ultratryhards M,2019/05/13 04:34:03,2021/06/05 13:13:06
43,,uuid_419dd86c887f4f309ecff9bc188aaa7e,[MVP+] tusw,Ultratryhards M,2019/06/29 03:18:53,2021/09/06 03:41:45
44,,uuid_f9c8f01767d34d1f8afa95e428d6fe34,[MVP+] Unwoeful,Ultratryhards M,2019/07/28 03:59:17,2021/08/31 05:11:42
45,,uuid_dc8ccb57b9a54bf0ab0b6da35259f705, Paulsu_tw,Ultratryhards M,2021/08/22 04:05:42,2021/09/17 14:22:32
46,,uuid_648a0534c5254e58a1c835b7b4ef465a,[VIP] Dreadknight4K,Ultratryhards M,2021/08/29 03:09:15,2021/09/17 03:39:44
47,,uuid_68674e022c7447c6bfde42f0ac23ff4a,[VIP] ItzVanixX,Ultratryhards M,2021/08/29 22:21:59,2021/09/16 01:08:10
48,,uuid_c97b6296de5240519252fbef20a4af73,[VIP] steekys,Ultratryhards M,2021/08/29 23:09:13,2021/09/15 03:24:33
49,,uuid_c7c546c51ccc4ac3a7963e4644c101da,[VIP] Autorks,Ultratryhards M,2021/08/30 08:47:35,2021/09/17 14:10:15
50,,uuid_2a97267f080243feb7cefc9741e91707,[MVP+] XxSweatyDogxX,Ultratryhards M,2021/08/30 23:20:01,2021/09/17 11:38:03
51,,uuid_9ea1aef6d58242849185d21b9fcba075,[VIP] fnocky,Ultratryhards M,2021/08/30 23:22:37,2021/09/17 14:46:37
52,,uuid_e5109d5c908146bf82739ecf18c02377, Sean1112__TW,Ultratryhards M,2021/08/31 02:26:21,2021/09/17 16:28:24
53,,uuid_d2ae9daf7e0e4f69a5a4e6f1d7da933b,[MVP+] domei,Ultratryhards M,2021/09/01 22:46:08,2021/09/17 08:02:00
54,,uuid_794df5da5bd84b71bc1a7b086a9ecc4f,[VIP] 4Frag,Ultratryhards M,2021/09/03 10:51:07,2021/09/17 18:07:17
55,,uuid_e369f053ad7046eda20c43f07888394c,[VIP] Manxlatic,Ultratryhards M,2021/09/03 10:51:45,2021/09/03 16:54:59
56,,uuid_450325e3943b4bc1925025f3d5d4d9c4,[VIP+] d_rres,Ultratryhards M,2021/09/04 01:22:10,2021/09/18 02:51:55
57,,uuid_efe1a351214d425c9250752cebbaa6f4,[VIP] P3rcival_,Ultratryhards M,2021/09/04 01:43:48,2021/09/13 09:33:22
58,,uuid_a5446b078a094c84bd78f18a2f9ec5d9,[VIP] 1pple,Ultratryhards M,2021/09/04 01:44:17,2021/09/16 16:44:43
